Current directory: /nfsmnt/223040076/coursecode/project4
NN OpenACC
Training two layer neural network w/ 400 hidden units (GPU)
| Epoch | Train Loss | Train Err | Test Loss | Test Err |
|     0 |    0.13340 |   0.03993 |   0.14156 |  0.04200 |
|     1 |    0.09571 |   0.02962 |   0.11544 |  0.03710 |
|     2 |    0.07257 |   0.02163 |   0.10026 |  0.03190 |
|     3 |    0.05793 |   0.01682 |   0.09085 |  0.02890 |
|     4 |    0.04739 |   0.01347 |   0.08501 |  0.02650 |
|     5 |    0.03932 |   0.01033 |   0.08046 |  0.02520 |
|     6 |    0.03332 |   0.00850 |   0.07714 |  0.02480 |
|     7 |    0.02914 |   0.00722 |   0.07595 |  0.02480 |
|     8 |    0.02464 |   0.00573 |   0.07320 |  0.02370 |
|     9 |    0.02155 |   0.00480 |   0.07187 |  0.02290 |
|    10 |    0.01891 |   0.00382 |   0.07062 |  0.02190 |
|    11 |    0.01698 |   0.00335 |   0.06989 |  0.02180 |
|    12 |    0.01508 |   0.00257 |   0.06920 |  0.02130 |
|    13 |    0.01339 |   0.00198 |   0.06840 |  0.02140 |
|    14 |    0.01225 |   0.00165 |   0.06845 |  0.02090 |
|    15 |    0.01110 |   0.00125 |   0.06805 |  0.02060 |
|    16 |    0.01015 |   0.00092 |   0.06770 |  0.02050 |
|    17 |    0.00929 |   0.00073 |   0.06741 |  0.02010 |
|    18 |    0.00852 |   0.00057 |   0.06738 |  0.02000 |
|    19 |    0.00795 |   0.00048 |   0.06737 |  0.01990 |
Execution Time: 56210 milliseconds

