Current directory: /nfsmnt/223040076/coursecode/project4
/var/spool/slurmd/job187946/slurm_script: line 27: NN: command not found
NN Sequential
Training two layer neural network w/ 400 hidden units
| Epoch | Train Loss | Train Err | Test Loss | Test Err |
|     0 |    0.13443 |   0.04015 |   0.14269 |  0.04250 |
|     1 |    0.09720 |   0.03022 |   0.11593 |  0.03630 |
|     2 |    0.07344 |   0.02170 |   0.10021 |  0.03090 |
|     3 |    0.05860 |   0.01712 |   0.09120 |  0.02830 |
|     4 |    0.04761 |   0.01338 |   0.08436 |  0.02650 |
|     5 |    0.03910 |   0.01022 |   0.07934 |  0.02500 |
|     6 |    0.03325 |   0.00838 |   0.07650 |  0.02480 |
|     7 |    0.02843 |   0.00683 |   0.07396 |  0.02490 |
|     8 |    0.02455 |   0.00558 |   0.07232 |  0.02330 |
|     9 |    0.02130 |   0.00468 |   0.07086 |  0.02240 |
|    10 |    0.01894 |   0.00388 |   0.07015 |  0.02220 |
|    11 |    0.01675 |   0.00310 |   0.06920 |  0.02160 |
|    12 |    0.01501 |   0.00252 |   0.06843 |  0.02110 |
|    13 |    0.01365 |   0.00208 |   0.06811 |  0.02090 |
|    14 |    0.01226 |   0.00162 |   0.06768 |  0.02070 |
|    15 |    0.01121 |   0.00127 |   0.06744 |  0.02050 |
|    16 |    0.01034 |   0.00107 |   0.06728 |  0.02030 |
|    17 |    0.00947 |   0.00088 |   0.06712 |  0.01980 |
|    18 |    0.00869 |   0.00060 |   0.06680 |  0.02020 |
|    19 |    0.00808 |   0.00052 |   0.06670 |  0.01980 |
Execution Time: 682218 milliseconds

